127.0.0.1 - - [16/Nov/2020:16:25:48 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [16/Nov/2020:16:25:50 +0900] "GET /SemiProject/login.jsp HTTP/1.1" 200 6298
0:0:0:0:0:0:0:1 - - [16/Nov/2020:16:25:50 +0900] "GET /SemiProject/style.css HTTP/1.1" 200 2943
0:0:0:0:0:0:0:1 - - [16/Nov/2020:16:25:50 +0900] "GET /SemiProject/CSS/index.css HTTP/1.1" 200 3982
0:0:0:0:0:0:0:1 - - [16/Nov/2020:16:25:50 +0900] "GET /SemiProject/CSS/login.css HTTP/1.1" 200 2033
0:0:0:0:0:0:0:1 - - [16/Nov/2020:16:25:50 +0900] "GET /SemiProject/JS/header.js HTTP/1.1" 200 323
0:0:0:0:0:0:0:1 - - [16/Nov/2020:16:25:50 +0900] "GET /SemiProject/JS/index.js HTTP/1.1" 200 296
0:0:0:0:0:0:0:1 - - [16/Nov/2020:16:25:50 +0900] "GET /SemiProject/JS/login.js HTTP/1.1" 200 484
0:0:0:0:0:0:0:1 - - [16/Nov/2020:16:25:58 +0900] "GET /SemiProject/login.jsp HTTP/1.1" 200 6298
0:0:0:0:0:0:0:1 - - [16/Nov/2020:16:25:59 +0900] "GET /SemiProject/style.css HTTP/1.1" 200 2943
0:0:0:0:0:0:0:1 - - [16/Nov/2020:16:25:59 +0900] "GET /SemiProject/JS/header.js HTTP/1.1" 200 323
0:0:0:0:0:0:0:1 - - [16/Nov/2020:16:25:59 +0900] "GET /SemiProject/JS/login.js HTTP/1.1" 200 484
0:0:0:0:0:0:0:1 - - [16/Nov/2020:16:25:59 +0900] "GET /SemiProject/JS/index.js HTTP/1.1" 200 296
0:0:0:0:0:0:0:1 - - [16/Nov/2020:16:25:59 +0900] "GET /SemiProject/CSS/login.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Nov/2020:16:25:59 +0900] "GET /SemiProject/CSS/index.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Nov/2020:16:26:00 +0900] "GET /favicon.ico HTTP/1.1" 404 818
